"Name","Text"
"Хочешь","Пожалуйста, не умирай,
Или мне придётся тоже
Ты, конечно, сразу в рай,
А я, не думаю, что тоже.
Хочешь сладких апельсинов?
Хочешь вслух рассказов длинных?
Хочешь я взорву все звёзды,
Что мешают спать?
Пожалуйста, только живи,
Ты же видишь: я живу тобою
Моей огромной любви
Хватит нам двоим с головою
Хочешь в море с парусами?
Хочешь музык новых самых?
Хочешь, я убью соседей,
Что мешают спать?
Хочешь солнце вместо лампы?
Хочешь за окошком Альпы?
Хочешь, я отдам все песни?
Про тебя отдам все песни
Хочешь солнце вместо лампы?
Хочешь за окошком Альпы?
Хочешь, я отдам все песни?
Про тебя отдам все песни"
"Искала","Я искала тебя годами долгими
Искала тебя дворами тёмными
В журналах, в кино, среди друзей
В день, когда нашла, с ума сошла.
Ты совсем как во сне
Совсем как в альбомах
Где я рисовала тебя гуашью
Дальше были звонки ночные больше
Слёзы, нервы, любовь и стрелки в Польше
Дети, но не мои, и старые зазнобы
Куришь каждые пять, мы устали оба
Ты совсем как во сне
Совсем как в альбомах
Где я рисовала тебя гуашью
Годами долгими…
Ночами тёмными…
Годами долгими…
Ты совсем как во сне
Совсем как в альбомах
Где я рисовала тебя гуашью
Ты совсем как во сне
Совсем как в альбомах
Где я рисовала тебя гуашью
Я искала тебя годами долгими
Искала тебя дворами тёмными
В журналах, в кино годами долгими
Искала тебя ночами-чами-чами…"
"Лондон","Мне приснилось небо Лондона
В нём приснился долгий поцелуй
Мы летели, вовсе не держась
Кто же из нас первый упадёт?
Вдребезги на Тауэрский мост
Утром, я узнаю утром
Ты узнаешь позже; этих снов дороже
Ничего и нет
Без таких вот звоночков
Я же зверь-одиночка
Промахнусь, свихнусь ночью
Не заметит никто
Всё тот же зверь-одиночка
Я считаю шажочки
До последней, до точки
Побежали летать
Мне приснилось небо Лондона
В нём приснился долгий поцелуй
Мы гуляли там по облакам
Притворились лондонским дождём
Моросили вместе на асфальт, но
Утром, я узнаю утром
Ты узнаешь позже; этих снов дороже
Ничего и нет
Без таких вот звоночков
Я же зверь-одиночка
Промахнусь, свихнусь ночью
Не заметит никто
Всё тот же зверь-одиночка
Я считаю шажочки
До последней, до точки
Побежали летать"
"Мы разбиваемся","мы разбегаемся по делам
​​земля разбивается пополам
сотри меня (сотри меня), смотри в меня, останься
​​прости меня за слабость и за то, что я так странно и отчаянно люблю
вздох сожаления на губах
​​зависли в неправильных городах
​​звонки телефонные под луной
​​границы условные — я с тобой
​​сотри меня (сотри меня), смотри в меня, останься
​​прости меня за слабость и за то, что я так странно и отчаянно люблю
мы разбегаемся по делам
​​земля разбивается пополам
​​вздох сожаления на губах
​​зависли в неправильных городах
​​звонки телефонные под луной
​​границы условные — я с тобой
мы разбегаемся по делам
​​земля разбивается пополам
​​мы разбегаемся
​​земля разбивается
​​мы разбиваемся"
"Мачо","Позвони, и я буду ждать
Я буду знать, кому из нас верить
Расскажи, куда идти
Зачем идти, если заперты двери
Пьяный мачо лечит меня и плачет
От того, что знает, как хорошо бывает
Проводи, и я буду плыть
Я буду стыть под слишком шумные воды
Перестань, твои глаза — мои глаза
В них просто разные коды
Пьяный мачо лечит меня и плачет
От того, что знает, как хорошо бывает
Пьяный мачо лечит меня и плачет
От того, что знает, как хорошо бывает
Полюби, и мне осталось жить
Ровно девять лун, а после вечное солнце
Проводи, и я буду плыть
Если хватит крон и если память вернётся"
"Не стреляйте","Не стреляйте, я всего лишь робкий шаг
Всего лишь тихий вздох перед остановкой
Не смотрите, эти шрамы не про вас
Не для ваших грустных глаз, мне неловко
Не молчите в этой рыхлой тишине
Я погибну, не молчите
Не стреляйте, в этой комнате любовь
Раздетая любовь, вы не осторожны
Не просите, я боюсь не удержать
Ваши руки удержать слишком сложно
Не молчите в этой рыхлой тишине
Я погибну, не молчите
Не молчите"
"Малыш","Мое сознание несется ракетой в сторону Солнца
Меня не стоит бояться, в меня не стоит влюбляться
Ты очень милый парень
Но таких, как я, больше нету
Давай договоримся
Будь со мной
Смотри, я тебе покажу чудеса
Лети…
И мы потечём как реки в неоновые аптеки
В известных всем переходах стоят наши ледоходы
Твоя ещё детская кожа
Юные, крепкие вены
Успех наших начинаний
Такая безумная пара...
Будь со мной
Смотри, я тебе покажу чудеса
Лети...
Малыш
Смотри, я тебе подарю чудеса
Лети..."
"Антананариву","Ты не со мной, и что же?
Я ж в отраженьи похожа
Немного на Бога, на шесть миллиардов
Меня так немного
Ты это не ценишь — странно
Но всё ж не смертельна рана
Салют стюардессам, вдавившим в кресла
Подальше от стресса
Я сбегу же в Антананариву
Всё же буги загорелых плеч и пиво
Романтика, и серфинги, и ocean
Никто и никому ничто не должен
Come on в Антананариву
Буги загорелых плеч и пиво
Романтика, и серфинги, и оcean
Никто и никому ничто не должен
Тем более я, тем более мне
Тем более я, тем более мне
Ты соберешь обломки
От сердца до самой кромки
Забытые вирши под утро
Похожи на спелые вишни
Ты это не оценишь — странно
Но всё ж не смертельна рана
И я расстреляю до самого края
Бетонные сваи
Потом сбегу же в Антананариву
Всё же буги загорелых плеч и пиво
Романтика, и серфинги, и ocean
Никто и никому ничто не должен
Come on в Антананариву
Буги загорелых плеч и пиво
Романтика, и серфинги, и оcean
Никто и никому ничто не должен
Тем более я, тем более мне
Тем более я, тем более мне"
"Небо, море, облака","Эти серые лица не внушают доверия
Теперь я знаю кому поёт певица Валерия
Я готова на многое, готова даже исправиться
Упакуйте, отдайте меня стюардессам-красавицам
Здравствуй небо, море, облака
Здравствуй небо, море, облака
Эти фильмы глупы, эти песни скучны и прилизаны
Мои мама и папа превратились давно в телевизоры
Я готова меняться не глядя с любым дозвонившимся
Посидим, поболтаем, покурим и, может быть, впишемся
Здравствуй небо, море, облака
Здравствуй небо, море, облака
Этот город заполнен деньгами и проститутками
Я не против ни тех, ни других, но только не сутками
Я готова забыть и начать, разумеется, заново
Приготовьте, согласно условиям, синего самого
Небо, море, облака
Здравствуй небо, море, облака"
"Друг","Вернись, мой друг
Мне грустно без тебя
Вернись, мой друг
Мне грустно без тебя
Вернись, мой друг
Мне грустно без тебя
Вернись, мой друг
Мне грустно без тебя
Зимнее солнце
Целится прямо в меня
Видимо, поздно
Или не нужно менять
Живу неслышно, и как представится -
Долгожданное ничто
Пишу пластинку — пока всё нравится
Вот только знаешь что
Вернись, мой друг
Мне грустно без тебя
Вернись, мой друг
Мне грустно без тебя
Вернись, мой друг
Мне грустно без тебя
Вернись, мой друг
Мне грустно без тебя
Сны и таблетки
Цепкие пальцы любви
Думаю редко
Но всё же бывает: лови...
Один в ударе, другой расслабился
Я нашла себе звезду
Хороший парень, тебе бы понравился
Тебе бы понравился
Вернись, мой друг
Мне грустно без тебя
Вернись, мой друг
Мне грустно без тебя
Вернись, мой друг
Мне грустно без тебя
Вернись, мой друг
Мне грустно без тебя"
